country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,brand_idsum,brand_idcount,brand_idmean,brand_packsum,brand_packcount,brand_packmean,brand_quantitysum,brand_quantitycount,brand_quantitymean,brand_valuesum,brand_valuecount,brand_valuemean,brand_pricesum,brand_pricecount,brand_pricemean,brand_pricesum,brand_pricecount,brand_pricemean,brand_designationsum,brand_designationcount,brand_designationmean,brand_usdsum,brand_usdcount,brand_usdmean,brand_calculatedsum,brand_calculatedcount,brand_calculatedmean,brand_calculatedsum,brand_calculatedcount,brand_calculatedmean
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,5244,2,2622.0,60,2,30.0,38,2,19.0,1102.0,2,551.0,58.0,2,29.0,1.94,2,0.97,2,2,1.0,94.08,2,47.04,26.0,2,13.0,1639.8700000000001,2,819.9350000000001
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,5244,2,2622.0,60,2,30.0,38,2,19.0,1102.0,2,551.0,58.0,2,29.0,1.94,2,0.97,2,2,1.0,94.08,2,47.04,26.0,2,13.0,1639.8700000000001,2,819.9350000000001
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Vietnam,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Tanzania,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
