country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,manufacturing_site_idsum,manufacturing_site_idcount,manufacturing_site_idmean,manufacturing_site_packsum,manufacturing_site_packcount,manufacturing_site_packmean,manufacturing_site_quantitysum,manufacturing_site_quantitycount,manufacturing_site_quantitymean,manufacturing_site_valuesum,manufacturing_site_valuecount,manufacturing_site_valuemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_designationsum,manufacturing_site_designationcount,manufacturing_site_designationmean,manufacturing_site_usdsum,manufacturing_site_usdcount,manufacturing_site_usdmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,5244,2,2622.0,60,2,30.0,38,2,19.0,1102.0,2,551.0,58.0,2,29.0,1.94,2,0.97,2,2,1.0,94.08,2,47.04,26.0,2,13.0,1639.8700000000001,2,819.9350000000001
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,5244,2,2622.0,60,2,30.0,38,2,19.0,1102.0,2,551.0,58.0,2,29.0,1.94,2,0.97,2,2,1.0,94.08,2,47.04,26.0,2,13.0,1639.8700000000001,2,819.9350000000001
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Tanzania,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
