country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,vendor_idsum,vendor_idcount,vendor_idmean,vendor_packsum,vendor_packcount,vendor_packmean,vendor_quantitysum,vendor_quantitycount,vendor_quantitymean,vendor_valuesum,vendor_valuecount,vendor_valuemean,vendor_pricesum,vendor_pricecount,vendor_pricemean,vendor_pricesum,vendor_pricecount,vendor_pricemean,vendor_designationsum,vendor_designationcount,vendor_designationmean,vendor_usdsum,vendor_usdcount,vendor_usdmean,vendor_calculatedsum,vendor_calculatedcount,vendor_calculatedmean,vendor_calculatedsum,vendor_calculatedcount,vendor_calculatedmean
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,5244,2,2622.0,60,2,30.0,38,2,19.0,1102.0,2,551.0,58.0,2,29.0,1.94,2,0.97,2,2,1.0,94.08,2,47.04,26.0,2,13.0,1639.8700000000001,2,819.9350000000001
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,5244,2,2622.0,60,2,30.0,38,2,19.0,1102.0,2,551.0,58.0,2,29.0,1.94,2,0.97,2,2,1.0,94.08,2,47.04,26.0,2,13.0,1639.8700000000001,2,819.9350000000001
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Tanzania,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
